,S BET(m2/g),Vtotal (cm3/g),Vmicro (cm3/g),T(oC),P(bar),CO2uptake (mmol/g)
473,1479.0,0.037000000000000005,0.585,0.0,0.8,5.5
474,1479.0,0.037000000000000005,0.585,25.0,0.8,3.3
475,1479.0,0.037000000000000005,0.585,50.0,0.8,2.0
476,1735.0,0.161,0.659,0.0,1.0,5.61
477,1735.0,0.161,0.659,25.0,1.0,3.51
478,1735.0,0.161,0.659,50.0,1.0,2.04
479,2307.0,0.278,0.88,0.0,1.0,5.05
480,2307.0,0.278,0.88,25.0,1.0,3.3
481,2307.0,0.278,0.88,50.0,1.0,1.8
482,2750.0,0.423,1.042,0.0,1.0,4.15
483,2750.0,0.423,1.042,25.0,1.0,2.73
484,2750.0,0.423,1.042,50.0,1.0,1.33
485,2750.0,0.423,1.042,0.0,0.2,1.1
486,2750.0,0.423,1.042,25.0,0.2,0.75
487,2750.0,0.423,1.042,50.0,0.2,0.4
488,2750.0,0.423,1.042,0.0,0.4,1.95
489,2750.0,0.423,1.042,25.0,0.4,1.3
490,2750.0,0.423,1.042,50.0,0.4,0.6
491,2750.0,0.423,1.042,0.0,0.6,2.75
492,2750.0,0.423,1.042,25.0,0.6,1.8
493,2750.0,0.423,1.042,50.0,0.6,0.9
494,2750.0,0.423,1.042,0.0,0.8,3.05
495,2750.0,0.423,1.042,25.0,0.8,2.25
496,2750.0,0.423,1.042,50.0,0.8,1.05
497,1770.0,0.03,0.7,25.0,0.0,0.0
498,1770.0,0.03,0.7,25.0,0.2,1.18
499,1770.0,0.03,0.7,25.0,0.4,2.0
500,1770.0,0.03,0.7,25.0,0.6,2.73
501,1770.0,0.03,0.7,25.0,0.8,3.1818
502,1770.0,0.03,0.7,25.0,1.0,3.8
503,1770.0,0.03,0.7,25.0,5.0,8.63
504,1770.0,0.03,0.7,25.0,10.0,10.2
505,1770.0,0.03,0.7,25.0,30.0,12.9
506,1770.0,0.03,0.7,25.0,20.0,11.8
507,1770.0,0.03,0.7,25.0,40.0,13.6
508,2430.0,0.14,0.91,25.0,0.2,0.87
509,2430.0,0.14,0.91,25.0,0.4,1.75
510,2430.0,0.14,0.91,25.0,0.6,2.5
511,2430.0,0.14,0.91,25.0,0.8,3.068
512,2430.0,0.14,0.91,25.0,1.0,3.63
513,2430.0,0.14,0.91,25.0,5.0,9.1
514,2430.0,0.14,0.91,25.0,10.0,13.6
515,2430.0,0.14,0.91,25.0,20.0,15.9
516,2430.0,0.14,0.91,25.0,30.0,18.8
517,2430.0,0.14,0.91,25.0,40.0,20.45
518,2455.0,0.13,0.96,25.0,0.2,0.85
519,2455.0,0.13,0.96,25.0,0.4,1.7
520,2455.0,0.13,0.96,25.0,0.6,2.45
521,2455.0,0.13,0.96,25.0,0.8,2.95
522,2455.0,0.13,0.96,25.0,1.0,3.52
523,2455.0,0.13,0.96,25.0,5.0,9.1
524,2455.0,0.13,0.96,25.0,10.0,13.6
525,2455.0,0.13,0.96,25.0,20.0,15.9
526,2455.0,0.13,0.96,25.0,30.0,18.8
527,2455.0,0.13,0.96,25.0,40.0,20.45
528,3125.0,0.4,1.05,25.0,0.2,0.68
529,3125.0,0.4,1.05,25.0,0.4,1.36
530,3125.0,0.4,1.05,25.0,0.6,1.93
531,3125.0,0.4,1.05,25.0,0.8,2.47
532,3125.0,0.4,1.05,25.0,1.0,2.95
533,3125.0,0.4,1.05,25.0,5.0,9.1
534,3125.0,0.4,1.05,25.0,10.0,14.3
535,3125.0,0.4,1.05,25.0,20.0,18.2
536,3125.0,0.4,1.05,25.0,30.0,23.8
537,3125.0,0.4,1.05,25.0,40.0,27.3
538,3575.0,0.61,1.22,25.0,0.2,0.64
539,3575.0,0.61,1.22,25.0,0.4,1.13
540,3575.0,0.61,1.22,25.0,0.6,1.7
541,3575.0,0.61,1.22,25.0,0.8,2.05
542,3575.0,0.61,1.22,25.0,1.0,2.61
543,3575.0,0.61,1.22,25.0,5.0,9.1
544,3575.0,0.61,1.22,25.0,10.0,14.3
545,3575.0,0.61,1.22,25.0,20.0,18.2
546,3575.0,0.61,1.22,25.0,30.0,27.3
547,3575.0,0.61,1.22,25.0,40.0,31.8
548,460.0,0.04,0.2,0.0,0.15,1.3
549,460.0,0.04,0.2,0.0,0.4,2.0
550,460.0,0.04,0.2,0.0,0.7,2.5
551,460.0,0.04,0.2,0.0,1.0,2.8
